marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
0,0.009715981,0.235347105,-0.000616447,0.01387815,0.244756568,-0.000220347,0.024146062,0.291418743,0.000370497,traditional,1,1
1,0.00951138,0.115280033,-0.000700434,0.007882396,0.114706668,-0.000253237,0.01080273,0.154489158,0.000409812,traditional,2,1
2,0.017920908,0.249273683,-0.001218674,0.025649739,0.210655574,-0.000469678,0.063373827,0.380560609,0.000659254,traditional,3,1
3,0.017058669,0.199248527,-0.00120845,0.029427302,0.185270862,-0.000472853,0.050526771,0.321583624,0.000705194,traditional,4,1
4,0.016003548,0.250192409,-0.001182422,0.01906536,0.240459628,-0.000465066,0.061699647,0.363345094,0.000633512,traditional,5,1
5,0.016363105,0.268439664,-0.00117359,0.027367015,0.148314393,-0.000677486,0.062431137,0.254827264,0.000563286,traditional,6,1
6,0.012362381,0.192165684,-0.001236601,0.019284808,0.164634781,-0.000389439,0.056866722,0.213411796,0.000608518,traditional,7,1
7,0.014462114,0.31230922,-0.001224225,0.025659351,0.214243165,-0.000487319,0.073143485,0.330766759,0.000670751,traditional,8,1
8,0.015007926,0.235388811,-0.001383878,0.027819085,0.167582789,-0.000494344,0.066156756,0.256507928,0.000636501,traditional,9,1
9,0.016914815,0.144549682,-0.001342186,0.030827906,0.108306353,-0.000745221,0.069503787,0.262021953,0.000728734,traditional,10,1
10,0.008829359,0.249702748,-0.000841132,0.018012909,0.192306115,-0.000219762,0.043415062,0.209494157,0.000355716,human_like,1,1
11,0.010900119,0.144050562,-0.000823141,0.015805633,0.10139221,-0.000124418,0.041079368,0.158370986,0.000194149,human_like,2,1
12,0.01111087,0.333731704,-0.000723855,0.016526769,0.208415936,-0.000219362,0.051800897,0.331080669,0.000377271,human_like,3,1
13,0.010222648,0.224394036,-0.000926768,0.015677108,0.11447547,9.69E-05,0.039249192,0.241224897,-0.000158723,human_like,4,1
14,0.009367769,0.209413551,-0.000641359,0.011359752,0.168127586,-8.40E-05,0.037098643,0.283657431,-9.14E-05,human_like,5,1
15,0.010032909,0.210102726,-0.00075732,0.011465072,0.143031204,-0.000106832,0.03303862,0.165864653,-0.000336686,human_like,6,1
16,0.007129651,0.216126126,-0.000477052,0.006240607,0.180023475,-4.07E-05,0.026979155,0.21869548,0.000159431,human_like,7,1
17,0.010968245,0.179847165,-0.000862236,0.016518131,0.081415843,-0.000151116,0.038738663,0.134628943,0.000364548,human_like,8,1
18,0.010021117,0.227957642,-0.000658429,0.015941142,0.125454342,-0.000145162,0.03955028,0.153294278,0.000336503,human_like,9,1
