时间戳记,Subject,Order (1 or 2),Conditions,I believe this IK system is a competent performer ,I trust the this IK system ,I have confidence in the information given by the this IK system ,I can depend on the this IK system to control the posture of the robot,I can rely on the this IK system  to control the posture of the robot in consistent ways ,I can rely on the this IK system to do its best every time I use it 
2022/05/12 3:57:44 下午 GMT-4,1,1,Traditional IK,3,4,3,2,2,2
2022/05/12 4:11:36 下午 GMT-4,1,2,Human-like IK,8,9,8,8,9,9
2022/05/13 6:52:48 下午 GMT-4,2,1,Traditional IK,10,10,8,10,10,10
2022/05/13 7:00:38 下午 GMT-4,2,2,Human-like IK,7,7,7,7,7,7
2022/05/14 3:53:57 下午 GMT-4,3,1,Human-like IK,6,6,7,7,7,7
2022/05/14 4:01:32 下午 GMT-4,3,2,Traditional IK,3,4,4,2,3,3
2022/05/14 5:58:57 下午 GMT-4,4,1,Human-like IK,10,10,10,10,10,9
2022/05/14 6:08:11 下午 GMT-4,4,2,Traditional IK,8,8,7,8,7,8
2022/05/15 4:39:15 下午 GMT-4,5,1,Traditional IK,5,5,5,5,8,5
2022/05/15 4:48:50 下午 GMT-4,5,2,Human-like IK,5,5,5,4,3,3
2022/05/15 6:06:32 下午 GMT-4,6,1,Human-like IK,7,6,7,6,6,7
2022/05/15 6:14:26 下午 GMT-4,6,2,Traditional IK,9,8,7,7,7,8
2022/05/17 3:08:24 下午 GMT-4,7,1,Traditional IK,6,7,7,8,7,7
2022/05/17 3:16:52 下午 GMT-4,7,2,Human-like IK,8,9,8,9,9,8
2022/05/17 6:15:38 下午 GMT-4,8,1,Human-like IK,8,8,9,7,7,6
2022/05/17 6:28:48 下午 GMT-4,8,2,Traditional IK,2,2,2,1,2,1
2022/05/19 2:20:12 下午 GMT-4,9,1,Traditional IK,6,4,5,4,3,3
2022/05/19 2:35:18 下午 GMT-4,9,2,Human-like IK,6,6,6,6,7,7
2022/05/19 3:35:35 下午 GMT-4,10,1,Human-like IK,3,3,3,3,3,3
2022/05/19 3:49:54 下午 GMT-4,10,2,Traditional IK,4,4,4,4,4,4
2022/05/25 5:17:19 下午 GMT-4,11,1,Human-like IK,8,8,9,7,8,7
2022/05/25 5:30:40 下午 GMT-4,11,2,Traditional IK,2,2,2,1,3,1
2022/05/25 6:12:19 下午 GMT-4,12,1,Traditional IK,8,6,6,6,5,3
2022/05/25 6:23:56 下午 GMT-4,12,2,Human-like IK,7,4,7,7,5,4
2022/05/26 3:30:07 下午 GMT-4,13,1,Human-like IK,7,8,8,8,7,7
2022/05/26 3:38:39 下午 GMT-4,13,2,Traditional IK,6,6,6,6,6,6
2022/05/26 4:17:26 下午 GMT-4,14,1,Traditional IK,8,9,9,9,9,9
2022/05/26 4:28:21 下午 GMT-4,14,2,Human-like IK,9,9,9,9,9,9
2022/05/26 4:51:31 下午 GMT-4,15,1,Human-like IK,4,4,5,2,1,3
2022/05/26 5:00:32 下午 GMT-4,15,2,Traditional IK,2,2,2,1,1,1
